Sum of Total Gross (Fiscal Years),Column Labels,,,,,,
Row Labels,BV,Col.,Fox,Par.,Uni.,WB,Grand Total
1980,71014207,95986096,289935699,327884089,337745407,159554152,1282119650
1981,56100000,202293493,145968541,228419150,124218682,273729147,1030729013
1982,103101149,254638493,320640357,625448244,724111182,319046550,2346985975
1983,72004286,471510857,534130398,419057122,272254512,403114023,2172071198
1984,156518279,596273482,340459928,586609279,267473596,653779059,2601113623
1985,95838675,529853080,245447821,419350002,545231362,500385759,2336106699
1986,244350435,571630078,308972534,623775993,257674164,336585812,2342989016
1987,442296183,302259375,306506093,714574564,262929875,456785181,2485351271
1988,711101511,385074377,421958057,435805387,289099746,345031734,2588070812
1989,564349794,509013995,260258233,630181131,651258100,654463111,3269524364
1990,649505529,683832254,387897299,660139466,646515607,595185638,3623075793
1991,561188202,816246137,752027978,367932794,479245028,521423403,3498063542
1992,778294951,803509159,495012471,619946695,603036320,771538719,4071338315
1993,833100333,958569802,556818676,399302319,649037714,1009793744,4406622588
1994,1029479945,548143000,606836540,755636586,673896068,745717221,4359709360
1995,907635169,,414083473,531518003,656969025,877977224,3388182894
1996,1179149616,,610734853,601664258,574323612,947138649,3913010988
1997,1040279642,,681857857,682738414,581067890,794507652,3780451455
1998,815413318,,810181213,1147096202,291575382,651318551,3715584666
1999,1382664131,,730815142,834534561,900053579,918917069,4766984482
2000,1218432706,,591058563,751893455,823997923,1071193796,4456576443
2001,781273357,,875841559,936940109,1263484471,778190360,4635729856
2002,1278324491,,1054933157,709279896,771277969,1276609580,5090425093
2003,1583297322,,646418476,656206372,1072834520,1186246691,5145003381
2004,825632146,,1067772240,552489165,827386815,1283711924,4556992290
2005,1055177584,,1216259041,904011261,945151817,1312071478,5432671181
2006,1598816217,,1226381682,706896646,1054554271,1067053584,5653702400
2007,1291015825,,951657636,270459259,995871095,1421847960,4930851775
2008,968449864,,1028845687,945050926,1084149135,1893604078,5920099690
2009,1284349110,1151727802,1155222574,685145131,856971471,1880091398,7013507486
2010,1075057714,933372092,1693818122,688418495,949625985,1890455004,7230747412
2011,1376088249,1070960612,994492826,1249697390,1059028606,2039552499,7789820182
2012,765556441,1349703794,955898082,732245325,1298825552,1590285066,6692514260
2013,1532974346,1232982995,1218248317,949080097,1450830924,1739315816,8123432495
2014,1357455961,767770249,1125945662,770553688,689945167,1430794502,6142465229
Grand Total,29685286688,14235351222,25023336787,23119981474,24931652572,33797016134,1.51E+11
